Image1,Image2,Score
012_3_1.tif,012_3_2.tif,0.79
012_3_1.tif,012_3_3.tif,0.86
012_3_1.tif,012_3_4.tif,0.90
012_3_1.tif,012_3_5.tif,0.91
012_3_1.tif,012_3_6.tif,0.91
012_3_1.tif,012_3_7.tif,0.68
012_3_1.tif,012_3_8.tif,0.88
012_3_1.tif,012_4_1.tif,0.58
012_3_1.tif,012_4_2.tif,0.57
012_3_1.tif,012_4_3.tif,0.62
012_3_1.tif,012_4_4.tif,0.65
012_3_1.tif,012_4_5.tif,0.63
012_3_1.tif,012_4_6.tif,0.63
012_3_1.tif,012_4_7.tif,0.76
012_3_1.tif,012_4_8.tif,0.69
012_3_1.tif,012_5_1.tif,0.56
012_3_1.tif,012_5_2.tif,0.54
012_3_1.tif,012_5_3.tif,0.54
012_3_1.tif,012_5_4.tif,0.51
012_3_1.tif,012_5_5.tif,0.60
012_3_1.tif,012_5_6.tif,0.62
012_3_1.tif,012_5_7.tif,0.59
012_3_1.tif,012_5_8.tif,0.69
012_3_1.tif,012_6_1.tif,0.43
012_3_1.tif,012_6_2.tif,0.55
012_3_1.tif,012_6_3.tif,0.52
012_3_1.tif,012_6_4.tif,0.53
012_3_1.tif,012_6_5.tif,0.64
012_3_1.tif,012_6_6.tif,0.61
012_3_1.tif,012_6_7.tif,0.53
012_3_1.tif,012_6_8.tif,0.59
012_3_1.tif,012_7_1.tif,0.63
012_3_1.tif,012_7_2.tif,0.67
012_3_1.tif,012_7_3.tif,0.73
012_3_1.tif,012_7_4.tif,0.75
012_3_1.tif,012_7_5.tif,0.83
012_3_1.tif,012_7_6.tif,0.65
012_3_1.tif,012_7_7.tif,0.57
012_3_1.tif,012_7_8.tif,0.83
012_3_1.tif,012_8_1.tif,0.69
012_3_1.tif,012_8_2.tif,0.65
012_3_1.tif,012_8_3.tif,0.63
012_3_1.tif,012_8_4.tif,0.72
012_3_1.tif,012_8_5.tif,0.65
012_3_1.tif,012_8_6.tif,0.62
012_3_1.tif,012_8_7.tif,0.71
012_3_1.tif,012_8_8.tif,0.54
012_3_1.tif,013_3_1.tif,0.59
012_3_1.tif,013_3_2.tif,0.33
012_3_1.tif,013_3_3.tif,0.49
012_3_1.tif,013_3_4.tif,0.53
012_3_1.tif,013_3_5.tif,0.69
012_3_1.tif,013_3_6.tif,0.57
012_3_1.tif,013_3_7.tif,0.67
